סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
292 ,שרונה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,666 ,38 ,195 ,198 ,91 ,36 ,108
293 ,שדה יואב ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,661 ,72 ,185 ,211 ,81 ,47 ,65
294 ,אילון ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1247 ,86 ,312 ,370 ,205 ,93 ,181
295 ,כפר רופין ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,571 ,40 ,125 ,187 ,73 ,33 ,113
296 ,נווה איתן ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,254 ,17 ,29 ,92 ,29 ,17 ,70
297 ,כפר מסריק ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,844 ,62 ,159 ,292 ,106 ,62 ,163
298 ,מסילות ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,596 ,53 ,74 ,183 ,52 ,47 ,187
300 ,דליה ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,966 ,76 ,197 ,298 ,122 ,55 ,218
301 ,בית עוזיאל ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,683 ,54 ,158 ,219 ,102 ,66 ,84
302 ,דפנה ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,924 ,90 ,185 ,297 ,124 ,42 ,186
303 ,דן ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,778 ,85 ,158 ,273 ,73 ,38 ,151
304 ,שדה אליהו ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,929 ,90 ,175 ,376 ,68 ,71 ,149
305 ,גשר ,22 ,כנרת ,22 ,טבריה ,7 ,עמק המעיינות ,538 ,58 ,59 ,178 ,55 ,49 ,139
306 ,שדמות דבורה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,772 ,57 ,222 ,208 ,140 ,33 ,112
307 ,הזורעים ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,1067 ,139 ,376 ,347 ,70 ,30 ,105
308 ,מחניים ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,883 ,63 ,227 ,279 ,99 ,67 ,148
309 ,נהורה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,1354 ,121 ,276 ,535 ,150 ,136 ,136
310 ,כפר גליקסון ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,429 ,45 ,95 ,124 ,56 ,33 ,76
311 ,גן שורק ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,375 ,22 ,85 ,113 ,61 ,42 ,52
312 ,נווה ים ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,304 ,30 ,65 ,100 ,31 ,24 ,54
313 ,אפק ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,819 ,76 ,198 ,262 ,115 ,42 ,126
315 ,נגבה ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,1103 ,78 ,300 ,321 ,154 ,56 ,194
316 ,כפר נטר ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1076 ,79 ,288 ,326 ,179 ,62 ,142
317 ,בית אורן ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,563 ,71 ,100 ,207 ,54 ,55 ,76
318 ,עמיעוז ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,308 ,19 ,68 ,108 ,38 ,33 ,42
319 ,עמיר ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,712 ,56 ,123 ,236 ,99 ,39 ,159
320 ,כפר ורבורג ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1250 ,88 ,313 ,413 ,180 ,90 ,166
322 ,בית הלל ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,825 ,70 ,165 ,340 ,94 ,49 ,107
324 ,שאר ישוב ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,552 ,32 ,109 ,200 ,83 ,40 ,88
325 ,מצובה ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1310 ,59 ,370 ,399 ,225 ,92 ,165
326 ,בית יצחק-שער חפר ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,2365 ,180 ,521 ,669 ,324 ,190 ,481
327 ,שדות ים ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,1137 ,129 ,247 ,377 ,135 ,64 ,185
328 ,עזוז ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,98 ,7 ,18 ,38 ,15 ,9 ,11
329 ,שדה נחמיה ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1219 ,80 ,314 ,394 ,186 ,99 ,146
330 ,אלומות ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,520 ,60 ,122 ,177 ,53 ,38 ,70
331 ,ניר צבי ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן ,1311 ,93 ,315 ,390 ,190 ,93 ,230
334 ,קבוצת יבנה ,44 ,רחובות ,44 ,רחובות ,29 ,חבל יבנה ,868 ,86 ,188 ,301 ,73 ,60 ,160
335 ,רמת השופט ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1205 ,94 ,286 ,367 ,191 ,62 ,205
336 ,דורות ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,841 ,83 ,184 ,288 ,70 ,43 ,173
338 ,איבים ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,776 ,60 ,214 ,374 ,64 ,35 ,29
339 ,רמת צבי ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,781 ,100 ,198 ,244 ,89 ,41 ,109
340 ,גת )קיבוץ( ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,994 ,78 ,268 ,281 ,144 ,48 ,175
342 ,גברעם ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,715 ,121 ,170 ,263 ,62 ,30 ,69
343 ,חמדיה ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,469 ,48 ,86 ,157 ,48 ,30 ,100
344 ,מענית ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,894 ,104 ,205 ,298 ,94 ,54 ,139
345 ,כפר סאלד ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,752 ,77 ,142 ,292 ,86 ,45 ,110
346 ,גליל ים ,51 ,תל אביב ,57 ,הרצליה ,19 ,חוף השרון ,549 ,64 ,116 ,187 ,56 ,34 ,92
347 ,מנרה ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,291 ,38 ,38 ,105 ,27 ,26 ,57
348 ,ניר עם ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,657 ,73 ,125 ,258 ,53 ,54 ,94
351 ,ניצן ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,2626 ,282 ,792 ,932 ,241 ,186 ,193
352 ,גבולות ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,498 ,39 ,106 ,164 ,44 ,50 ,95
353 ,בית זיד ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,138 ,5 ,18 ,31 ,19 ,24 ,41
354 ,רביבים ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,979 ,66 ,151 ,372 ,102 ,94 ,194
355 ,חורשים ,42 ,פתח תקווה ,349 ,ראש העין ,20 ,דרום השרון ,415 ,36 ,63 ,125 ,54 ,52 ,85
356 ,הגושרים ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1093 ,123 ,213 ,387 ,118 ,98 ,154
357 ,כפר בלום ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1061 ,69 ,242 ,315 ,150 ,53 ,232
358 ,יד מרדכי ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,997 ,101 ,145 ,351 ,112 ,55 ,233
359 ,ניצנים ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,668 ,95 ,131 ,208 ,55 ,47 ,132
360 ,גבעת ניל"י ,32 ,חדרה ,32 ,חדרה ,45 ,אלונה ,634 ,43 ,149 ,213 ,90 ,68 ,71
362 ,רוחמה ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,791 ,70 ,160 ,237 ,101 ,40 ,183
363 ,חפץ חיים ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק ,676 ,109 ,207 ,221 ,45 ,32 ,62
364 ,כפר אוריה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,882 ,59 ,280 ,243 ,151 ,66 ,83
365 ,בית קשת ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,804 ,55 ,239 ,222 ,127 ,57 ,104
366 ,שמיר ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,946 ,66 ,180 ,325 ,120 ,88 ,167
367 ,עין העמק ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,860 ,82 ,158 ,316 ,106 ,83 ,115
368 ,ביריה ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,968 ,89 ,253 ,323 ,92 ,78 ,133
369 ,גלעד )אבן יצחק( ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,572 ,53 ,125 ,163 ,76 ,40 ,115
370 ,גזר ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,518 ,38 ,70 ,205 ,33 ,60 ,112
371 ,כדורי ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,111 ,7 ,30 ,48 ,8 ,10 ,8
372 ,רמות נפתלי ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,603 ,24 ,126 ,188 ,104 ,56 ,105
373 ,בית הלוי ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,798 ,75 ,185 ,250 ,101 ,58 ,129
374 ,חוקוק ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,752 ,58 ,207 ,214 ,119 ,50 ,104
375 ,מגל ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1336 ,81 ,398 ,364 ,271 ,72 ,150
376 ,עברון ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,988 ,95 ,193 ,340 ,115 ,55 ,190
377 ,המעפיל ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,970 ,68 ,257 ,276 ,168 ,66 ,135
378 ,משגב עם ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,351 ,34 ,48 ,149 ,33 ,33 ,54
379 ,גאולים ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1011 ,77 ,220 ,331 ,143 ,94 ,146
380 ,להבות הבשן ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1008 ,57 ,227 ,320 ,179 ,87 ,138
382 ,מכמורת ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1530 ,123 ,320 ,452 ,220 ,140 ,275
383 ,עין הנצי"ב ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,678 ,82 ,164 ,228 ,51 ,46 ,107
385 ,עמיעד ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,652 ,65 ,99 ,214 ,71 ,56 ,147
386 ,בני דרור ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1240 ,69 ,191 ,282 ,118 ,115 ,465
387 ,כפר מונש ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,928 ,86 ,219 ,276 ,127 ,82 ,138
388 ,כפר קיש ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,732 ,58 ,191 ,233 ,106 ,59 ,85
389 ,בצרה ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1145 ,80 ,265 ,343 ,198 ,97 ,162
390 ,רגבה ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1136 ,75 ,223 ,353 ,156 ,76 ,253
392 ,קדמה ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,40 ,2 ,13 ,11 ,6 ,2 ,6
393 ,גלאון ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,730 ,63 ,186 ,207 ,83 ,47 ,144
394 ,שובל ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,952 ,99 ,215 ,304 ,107 ,72 ,155
395 ,משמר הנגב ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,1330 ,114 ,292 ,377 ,169 ,122 ,256
396 ,נבטים ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,1103 ,88 ,234 ,412 ,127 ,117 ,125
397 ,חצרים ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,1131 ,91 ,205 ,364 ,137 ,109 ,225
398 ,שרשרת ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,434 ,47 ,114 ,136 ,46 ,36 ,55
399 ,בארי ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,1223 ,115 ,251 ,407 ,135 ,104 ,211
400 ,אבן שמואל ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,1944 ,221 ,684 ,650 ,194 ,76 ,119
402 ,ניר יצחק ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,710 ,51 ,99 ,261 ,57 ,88 ,154
403 ,אורים ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,581 ,27 ,65 ,201 ,63 ,64 ,161
405 ,נווה אילן ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1056 ,62 ,265 ,318 ,150 ,82 ,179
406 ,חצור-אשדוד ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,980 ,94 ,190 ,298 ,106 ,68 ,224
407 ,דברת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,637 ,92 ,162 ,198 ,79 ,29 ,77
408 ,נאות מרדכי ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,794 ,77 ,161 ,275 ,78 ,54 ,149
409 ,יחיעם ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,941 ,62 ,261 ,279 ,143 ,34 ,162
412 ,קרית שלמה ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,10 ,0 ,0 ,0 ,0 ,1 ,9
413 ,צאלים ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,532 ,44 ,91 ,161 ,78 ,47 ,111
414 ,קלחים ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,651 ,62 ,214 ,205 ,83 ,35 ,52
415 ,שוקדה ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,683 ,122 ,271 ,213 ,23 ,24 ,30
416 ,מעין ברוך ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,687 ,63 ,134 ,240 ,79 ,49 ,122
417 ,יקום ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,829 ,83 ,169 ,272 ,116 ,50 ,139
418 ,בני ציון ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1186 ,59 ,284 ,384 ,163 ,129 ,167
419 ,סעד ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,992 ,102 ,267 ,343 ,85 ,43 ,152
421 ,משאבי שדה ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,624 ,57 ,97 ,201 ,61 ,72 ,136
422 ,חרב לאת ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,837 ,80 ,172 ,277 ,106 ,75 ,127
423 ,העוגן ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,928 ,73 ,184 ,267 ,117 ,69 ,218
424 ,גבים ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,644 ,47 ,129 ,233 ,96 ,64 ,75
425 ,משמרת ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,992 ,73 ,246 ,288 ,195 ,90 ,100
426 ,עין כרמל ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,810 ,50 ,217 ,236 ,157 ,55 ,95
427 ,כפר גלים ,31 ,חיפה ,31 ,חיפה ,15 ,חוף הכרמל ,168 ,10 ,42 ,79 ,25 ,5 ,7
428 ,ברור חיל ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,1104 ,68 ,228 ,360 ,155 ,99 ,194
429 ,אלוני אבא ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1047 ,34 ,290 ,304 ,231 ,85 ,103
430 ,בית לחם הגלילית ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,846 ,67 ,175 ,264 ,108 ,92 ,140
431 ,דלתון ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,932 ,84 ,202 ,373 ,103 ,94 ,76
432 ,שמרת ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,690 ,68 ,157 ,225 ,67 ,47 ,126
433 ,נחשולים ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,790 ,64 ,184 ,256 ,105 ,70 ,111
434 ,החותרים ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,930 ,117 ,199 ,302 ,108 ,51 ,153
435 ,נצר סרני ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1071 ,135 ,259 ,335 ,117 ,44 ,181
436 ,עין דור ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1390 ,109 ,307 ,402 ,183 ,119 ,270
437 ,רשפים ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,1211 ,144 ,375 ,416 ,109 ,63 ,104
439 ,שלוחות ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,513 ,69 ,90 ,162 ,18 ,61 ,113
440 ,יסודות ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק ,801 ,139 ,318 ,238 ,31 ,13 ,62
442 ,גדעונה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,511 ,59 ,131 ,187 ,56 ,24 ,54
443 ,כפר הנשיא ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,971 ,73 ,149 ,294 ,114 ,101 ,240
444 ,רגבים ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,684 ,66 ,162 ,190 ,79 ,48 ,139
445 ,רמות מנשה ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1397 ,83 ,396 ,398 ,262 ,95 ,163
446 ,אודים ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1175 ,107 ,231 ,407 ,172 ,109 ,149
447 ,נורדיה ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,2022 ,146 ,299 ,538 ,182 ,187 ,670
448 ,בני עטרות ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,873 ,72 ,215 ,270 ,133 ,73 ,110
449 ,נחלים ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,1441 ,174 ,367 ,458 ,131 ,87 ,224
450 ,בארות יצחק ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,586 ,66 ,94 ,198 ,53 ,44 ,131
452 ,יזרעאל ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,775 ,33 ,144 ,198 ,121 ,57 ,222
453 ,יפתח ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,786 ,60 ,160 ,288 ,78 ,60 ,140
454 ,סער ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1028 ,86 ,256 ,340 ,143 ,98 ,105
456 ,שורש ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1305 ,71 ,159 ,279 ,109 ,111 ,576
457 ,גזית ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,907 ,80 ,164 ,294 ,112 ,75 ,182
460 ,רמת רזיאל ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,700 ,51 ,167 ,207 ,108 ,57 ,110
462 ,טל שחר ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1220 ,97 ,322 ,390 ,176 ,90 ,145
463 ,געתון ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,831 ,64 ,197 ,256 ,109 ,58 ,147
464 ,הראל ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,348 ,28 ,65 ,91 ,48 ,43 ,73
465 ,צובה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,829 ,53 ,139 ,317 ,91 ,97 ,132
466 ,בית דגן ,43 ,רמלה ,43 ,רמלה ,0 , ,7576 ,633 ,1526 ,2697 ,1005 ,770 ,945
469 ,קרית עקרון ,44 ,רחובות ,44 ,רחובות ,0 , ,11278 ,1001 ,2114 ,4060 ,1222 ,1143 ,1738
472 ,אבו גוש ,11 ,ירושלים ,11 ,ירושלים ,0 , ,8547 ,876 ,2022 ,3435 ,875 ,710 ,629
473 ,אבו סנאן ,24 ,עכו ,24 ,עכו ,0 , ,14113 ,1295 ,2924 ,6074 ,1650 ,1072 ,1098
475 ,דחי ,23 ,עפולה ,23 ,עפולה ,66 ,בוסתאן אל-מרג' ,753 ,73 ,154 ,309 ,105 ,47 ,65
478 ,אכסאל ,23 ,עפולה ,23 ,עפולה ,0 , ,15596 ,1617 ,3869 ,6589 ,1658 ,1024 ,839
480 ,בית ג'ן ,24 ,עכו ,20 ,כרמיאל ,0 , ,12670 ,1063 ,2571 ,5580 ,1468 ,1011 ,977
481 ,מגאר ,22 ,כנרת ,22 ,טבריה ,0 , ,24092 ,2221 ,5166 ,10789 ,2645 ,1726 ,1545
482 ,בועיינה-נוג'ידאת ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,10636 ,1070 ,2652 ,4733 ,1072 ,616 ,493
483 ,בענה ,24 ,עכו ,24 ,עכו ,0 , ,8712 ,770 ,2066 ,3756 ,1010 ,608 ,502
485 ,ג'ולס ,24 ,עכו ,24 ,עכו ,0 , ,6732 ,558 ,1281 ,2955 ,828 ,597 ,513
487 ,ג'ש )גוש חלב( ,21 ,צפת ,21 ,צפת ,0 , ,3371 ,235 ,606 ,1314 ,438 ,352 ,426
489 ,דבוריה ,23 ,עפולה ,23 ,עפולה ,0 , ,10946 ,1092 ,2518 ,4445 ,1269 ,881 ,741
490 ,דייר אל-אסד ,24 ,עכו ,24 ,עכו ,0 , ,13193 ,1242 ,3281 ,5603 ,1427 ,874 ,766
492 ,דייר חנא ,24 ,עכו ,24 ,עכו ,0 , ,11017 ,918 ,2444 ,4741 ,1266 ,879 ,769
493 ,דייר ראפאת ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,96 ,8 ,31 ,36 ,12 ,1 ,8
494 ,דאלית אל-כרמל ,31 ,חיפה ,31 ,חיפה ,0 , ,18169 ,1447 ,3655 ,7333 ,2424 ,1668 ,1642
496 ,חורפיש ,24 ,עכו ,24 ,עכו ,0 , ,6864 ,621 ,1459 ,3021 ,785 ,498 ,480
497 ,טייבה )בעמק( ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,2002 ,242 ,477 ,884 ,190 ,108 ,101
498 ,טורעאן ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,15166 ,1504 ,3756 ,6298 ,1625 ,1041 ,942
499 ,יפיע ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,19980 ,1774 ,4609 ,8324 ,2314 ,1562 ,1397
502 ,ירכא ,24 ,עכו ,24 ,עכו ,0 , ,16532 ,1489 ,3858 ,7237 ,1761 ,1206 ,981
504 ,כאבול ,24 ,עכו ,24 ,עכו ,0 , ,12847 ,1204 ,3144 ,5433 ,1489 ,890 ,687
505 ,כאוכב אבו אל-היג'א ,24 ,עכו ,24 ,עכו ,0 , ,4094 ,375 ,982 ,1658 ,510 ,280 ,289
507 ,כפר יאסיף ,24 ,עכו ,24 ,עכו ,0 , ,11277 ,919 ,2186 ,4696 ,1358 ,1005 ,1113
508 ,כפר כמא ,22 ,כנרת ,22 ,טבריה ,0 , ,3600 ,298 ,637 ,1474 ,391 ,315 ,485
509 ,כפר כנא ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,24160 ,2623 ,6008 ,10082 ,2500 ,1550 ,1397
510 ,כפר מנדא ,24 ,עכו ,25 ,נוף הגליל ,0 , ,21545 ,2525 ,5553 ,9458 ,1961 ,1159 ,889
511 ,עילוט ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,8823 ,1017 ,2250 ,3721 ,942 ,516 ,377
512 ,כפר מצר ,25 ,נצרת ,23 ,עפולה ,66 ,בוסתאן אל-מרג' ,2858 ,276 ,684 ,1229 ,323 ,198 ,148
514 ,עין ראפה ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,1323 ,135 ,351 ,548 ,127 ,79 ,83
516 ,מג'ד אל-כרום ,24 ,עכו ,24 ,עכו ,0 , ,16020 ,1345 ,3849 ,6877 ,1871 ,1113 ,965
517 ,מזרעה ,24 ,עכו ,24 ,עכו ,0 , ,4202 ,448 ,729 ,1826 ,433 ,417 ,349
518 ,מעיליא ,24 ,עכו ,24 ,עכו ,0 , ,3393 ,228 ,576 ,1294 ,499 ,312 ,484
520 ,משהד ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,9156 ,990 ,2321 ,3971 ,820 ,553 ,501
521 ,עין נקובא ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,3911 ,525 ,1116 ,1628 ,333 ,191 ,118
522 ,נחף ,24 ,עכו ,20 ,כרמיאל ,0 , ,14066 ,1509 ,3599 ,6066 ,1448 ,799 ,645
523 ,ניין ,23 ,עפולה ,23 ,עפולה ,66 ,בוסתאן אל-מרג' ,2075 ,208 ,451 ,871 ,233 ,161 ,151
524 ,נאעורה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,2522 ,283 ,679 ,1044 ,248 ,134 ,134
525 ,סאג'ור ,24 ,עכו ,20 ,כרמיאל ,0 , ,4531 ,428 ,947 ,2112 ,513 ,279 ,252
526 ,סולם ,23 ,עפולה ,23 ,עפולה ,66 ,בוסתאן אל-מרג' ,3090 ,299 ,692 ,1341 ,327 ,214 ,217
527 ,שזור ,24 ,עכו ,21 ,צפת ,2 ,מרום הגליל ,344 ,30 ,42 ,118 ,39 ,47 ,68
528 ,עוזייר ,25 ,נצרת ,25 ,נוף הגליל ,65 ,אל-בטוף ,3485 ,446 ,883 ,1489 ,340 ,178 ,149
529 ,אעבלין ,24 ,עכו ,24 ,עכו ,0 , ,13797 ,1163 ,3187 ,5707 ,1636 ,1116 ,988
530 ,עיילבון ,22 ,כנרת ,22 ,טבריה ,0 , ,5933 ,442 ,1241 ,2455 ,654 ,516 ,625
531 ,עראבה ,24 ,עכו ,24 ,עכו ,0 , ,27703 ,2773 ,7132 ,11672 ,2953 ,1692 ,1481
532 ,עין מאהל ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,14155 ,1406 ,3248 ,6062 ,1605 ,1025 ,809
534 ,עספיא ,31 ,חיפה ,31 ,חיפה ,0 , ,13020 ,993 ,2560 ,5277 ,1679 ,1183 ,1328
535 ,פסוטה ,24 ,עכו ,24 ,עכו ,0 , ,3573 ,254 ,626 ,1459 ,476 ,332 ,426
536 ,פקיעין )בוקייעה( ,24 ,עכו ,24 ,עכו ,0 , ,6221 ,476 ,1187 ,2653 ,737 ,574 ,594
