,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
1651,המניע - 505-146,הובלת מזון במכונית מספר 505-146,מזון,הצפירה 10 ,"הובלת מזון במכונית מספר 505-146,","(31.7642585, 35.2185292)"
1652,"""הגליל""",בית מרקחת,"בריאות, רוקחות, קוסמטיקה",בן יהודה 80 ,"בית מרקחת,","(32.080769, 34.77054)"
1653,אמפי וואהל,"אמפיתאטרון פתוח למופעי תיאטרון, קונצרט וקולנוע צפי קהל עד 1300.",עינוג ציבורי כללי,רוקח ישראל 94 ,"אמפיתאטרון פתוח למופעי תיאטרון, קונצרט וקולנוע צפי קהל עד 1300.,מתקני שעשועים.,","(31.9595402, 34.8081028)"
1654,הפיצה של עדי,"מקום להכנה ומכירת פיצות מבצק מוכן וקפוא ממקור מאושר ללא הכנת בצק במקום, בכלים חד פעמיים ושתיה קרה, ללא הכנת רטבים,ללא ישיבה במקום.",מזון,דיזנגוף 65 ,"מקום להכנה ומכירת פיצות מבצק מוכן וקפוא ממקור מאושר ללא הכנת בצק במקום, בכלים חד פעמיים ושתיה קרה, ללא הכנת רטבים,ללא ישיבה במקום.,","(32.07581, 34.774309)"
1655,מלבי בר,עבוד מתכת,"תעשיה, כימיה, מחצב",שלמה 90 ,"עבוד מתכת,","(32.05475, 34.77366)"
1659,אטליז בלט,מכירת בשר בקר ועוף טרי.,מזון,השוק 32 ,"מכירת בשר בקר ועוף שאינם קפואים,מכירת דגים, בשר בקר ,ירקות ועוף קפואים.,","(32.058614, 34.771514)"
1662,פירות ראש פינה,4.7 ב - מרכול למכירת פירות וירקות.,מזון,ראש פינה 20 ,"4.7 ב - מרכול למכירת פירות וירקות.,","(32.058481, 34.78207)"
1669,שף סלט,"בית אוכל להכנה והגשת סלטים מירקות טריים,+   הכנת  אנטיפסטי, מרקים מירקות+ שתיה קלה (הגשה בכלים חד פעמי).ללא הגשת משקאות משכרים + משלוחים",מזון,יהודה הלוי 47 ,"בית אוכל להכנה והגשת סלטים מירקות טריים,+   הכנת  אנטיפסטי, מרקים מירקות+ שתיה קלה (הגשה בכלים חד פעמי).ללא הגשת משקאות משכרים + משלוחים,","(32.062207, 34.773589)"
1670,ארומה דיזנגוף גורדון,"בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.",מזון,גורדון יהודה ליב 41 ,"בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים חביתות ומרקים + סלטים עם תוספת רצועות עוף ומשקאות קרים וחמים לרבות צריכת משקאות משכרים במקום.,אפיית דברי מאפה מבצק מוכן ומוקפא,","(None, None)"
1671,מספרת סיני בר,מספרה,"בריאות, רוקחות, קוסמטיקה",מאפו 27 ,"מספרה,","(32.080691, 34.772099)"
1674,בנג'מין 2,"מכירת מצרכי מזון באריזות סגורות, מכירת משקאות שלא לצריכה במקום, מכירת שלגונים וממתקים.",מזון,נחלת בנימין 2 ,"מכירת מצרכי מזון באריזות סגורות, מכירת משקאות שלא לצריכה במקום, מכירת שלגונים וממתקים.,","(32.06949, 34.77021)"
1677,החומה הסינית,מסעדה (ללא אפיה)- לרבות צריכת משקאות משכרים במקום- לרבות צריכת משקאות משכרים במקום,מזון,החשמל 29 ,"מסעדה (ללא אפיה)- לרבות צריכת משקאות משכרים במקום- לרבות צריכת משקאות משכרים במקום,","(32.062608, 34.777172)"
1678,הו מאמא,"מסעדה כולל הכנת דגים ללא אפיה, לרבות משקאות משכרים",מזון,בן יהודה 69 ,"מסעדה כולל הכנת דגים ללא אפיה, לרבות משקאות משכרים,","(32.0804379, 34.7699176)"
1682,גולדה,"4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו ללא הגשת משקאות משכרים לצריכה במקום.
",מזון,ז'בוטינסקי 110 ,"4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו ללא הגשת משקאות משכרים לצריכה במקום.
,","(32.087156, 34.786655)"
1688,בית אלאיה בעמ,"4.2ב - בית קפה (ללא בשר וללא דגים) - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות משלוחי מזון ולרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה ב",מזון,דיזנגוף 201 ,"מעדניה - מכירת גבינות , דגים מעושינים, חמוצים במשקל , מכירת משקאות משכרים באריזות סגורות שלא לצריכה במקום.,בית קפה לרבות צריכת משקאות משכרים במקום
,","(32.08749, 34.774902)"
1689,קונדיטוריה עזיז,קונדיטוריה-ייצור ומכירת עוגות.,מזון,"אצ""ל 6 ","קונדיטוריה-ייצור ומכירת עוגות.,מכירת משקאות קלים.,","(None, None)"
1690,מכבסת לוינסקי,"6.4 - מכבסה ללא ניקוי יבש
",מסחר ושונות,לוינסקי 77 ,"מכבסה ללא ניקוי יבש
,","(32.058801, 34.775325)"
1691,להמר,מסעדה + הכנת דגים מפולטים מסופקים ממקור מאושר כחוק (ללא אפיה) לרבות הגשת משקאות משכרים במקום.,מזון,הרברט סמואל 91 ,"מסעדה + הכנת דגים מפולטים מסופקים ממקור מאושר כחוק (ללא אפיה) לרבות הגשת משקאות משכרים במקום.,","(32.077633, 34.766192)"
1694,פלאפל בין חור,בית אוכל להכנה והגשת פלאפל לצריכה במקום ( הגשה בכלים חד פעמיים ).,מזון,לוינסקי 136 ,"בית אוכל להכנה והגשת פלאפל לצריכה במקום ( הגשה בכלים חד פעמיים ).,","(32.055271, 34.782642)"
1696,בוניטה,אחסנת אריגים,מסחר ושונות,גרוזנברג 18 ,"אחסנת אריגים,גזירת בדים.,","(32.066166, 34.770004)"
1700,מציצים,מכירת דברי מזון ארוזים ממקור מאושר כחוק ומכירת משקאות משכרים שלא לצריכה במקום.,מזון,בן יהודה 230 ,"מכירת דברי מזון ארוזים ממקור מאושר כחוק ומכירת משקאות משכרים שלא לצריכה במקום -(מחסן בתיק רישוי 65521 בכתובת בן יהודה 228).,","(32.092245, 34.774817)"
1701,קרם פרש,"בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.",מזון,פנקס דוד צבי 47 ,"בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.,","(31.7618313, 35.1990827)"
1702,"ספרינט מוטורס בע""מ",2.2 א - תחנת דלק ותדלוק.,דלק ואנרגיה,המלאכה 2 ,"תחנת דלק (נפח דלק 28,000 ליטר ).,","(32.066532, 34.785078)"
1703,מכולת צ.ע.א,מכולת (כולל מכירת ירקות ובצקים קפואים).,מזון,קהילת לבוב 24 ,"מכולת (כולל מכירת ירקות ובצקים קפואים).,מכירת עופות קפואים,","(32.110503, 34.821925)"
1706,"מעדני  ""לארו""",מקום אחר למכירת מזון מכירת משקאות משכרים שלא לצריכה במקום.,מזון,אלנבי 37 ,"מקום אחר למכירת מזון מכירת משקאות משכרים שלא לצריכה במקום.,","(32.071306, 34.769911)"
1709,מגה בעיר,"מרכול - כמשמעותו בפריט 4.7 ב, שיש בו טיפול במזון, לרבות משלוח מזון סופרמרקט מכולת מכירת מוצרי קפואים, סלטים ונקניקים במשקל מכירת פירות וירקות אפיית דברי מאפה מבצק מוכן מוקפא.
",מזון,לה גוארדיה 76 ,"מרכול - כמשמעותו בפריט 4.7 ב, שיש בו טיפול במזון, לרבות משלוח מזון סופרמרקט מכולת מכירת מוצרי קפואים, סלטים ונקניקים במשקל מכירת פירות וירקות אפיית דברי מאפה מבצק מוכן מוקפא.
,חנות ששטחה מעל 800 מ""ר,אטליז מכירת בשר בקר ועוף קפוא ושאינו קפוא דגים מצוננים ארוזים ומכירת דגים קפואים.,","(None, None)"
1710,מוסך מתי  מזרחי ובניו,מוסך לפחחות וצביעת רכב.,רכב ותחבורה,"ב""ק ישראל 39 ","מוסך לפחחות וצביעת רכב.,","(32.0152879, 34.8003791)"
1715,מפגש מנדלה,"מכירת משקאות קלים, גלידות, ממתקים, דברי מאפה מוכנים ומכירת משקאות שלא לצריכה במקום.",מזון,בן יהודה 62 ,"מכירת משקאות קלים, גלידות, ממתקים, דברי מאפה מוכנים ומכירת משקאות שלא לצריכה במקום.,","(32.078911, 34.76933)"
1716,אליאסי שיווק,"4.2ב - מזנון,בית אוכל אחר ,לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8",מזון,יהודה הלוי 75 ,"4.2ב - מזנון,בית אוכל אחר ,לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8,4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

,","(32.064213, 34.776578)"
1718,סביבה ירוקה,מקום המיועד לאחסנת פסולת בקבוקים לאריזתם והפצתם.,מסחר ושונות,"לח""י 55 ","מקום המיועד לאחסנת פסולת בקבוקים לאריזתם והפצתם.,","(32.047756, 34.794258)"
1719,מעצבי שיער ראש גדול,מספרה.,"בריאות, רוקחות, קוסמטיקה",השלום 101 ,"מספרה.,","(32.0619045, 34.8048602)"
1721,בית מרקחת יהודה הלוי,בית מרקחת,"בריאות, רוקחות, קוסמטיקה",נחמני 36 ,"בית מרקחת,","(32.065142, 34.777509)"
1722,נטלי קוסמטיקס,פדיקור ומניקור.מכון יופי וקוסמטיקה,"בריאות, רוקחות, קוסמטיקה",אבן גבירול 107 ,"פדיקור ומניקור.מכון יופי וקוסמטיקה,מספרה.,","(32.086535, 34.781789)"
1725,לאון פארם,"1.1 - בית מרקחת  (למעט בקופת חולים ולמעט בבית חולים) 1.1
","בריאות, רוקחות, קוסמטיקה",בן יהודה 34 ,"בית מרקחת,","(31.7811283, 35.2157765)"
1727,בית מרקחת מושנזון,בית מרקחת,"בריאות, רוקחות, קוסמטיקה",בן יהודה 83 ,"בית מרקחת,","(32.081845, 34.770657)"
1728,גוד פארם,מכירת מצרכי מזון ארוזים.,מזון,המלך ג'ורג' 25 ,"מכירת מצרכי מזון ארוזים.,","(31.7806371, 35.2159933)"
1729,הלב הרחב,"מסעדה מצומצמת-(שיפודים,ציפס,סלט חי ומשקאות קלים)-לרבות צריכת משקאות משכרים במקום( בירה בבקבוקים/פחיות בלבד).",מזון,רבי עקיבא 10 ,"מסעדה מצומצמת-(שיפודים,ציפס,סלט חי ומשקאות קלים)-לרבות צריכת משקאות משכרים במקום( בירה בבקבוקים/פחיות בלבד).,","(31.7794252, 35.2180353)"
1730,עגבניה,"בית אוכל להכנה והגשת פיצה ללא הכנת בצק במקום, מבצק מוכן ומוקפא כולל משלוחים.",מזון,אבן גבירול 88 ,"בית אוכל להכנה והגשת פיצה ללא הכנת בצק במקום, מבצק מוכן ומוקפא כולל משלוחים.,","(32.082527, 34.781497)"
1732,מרכז ספורט גלי צהלה.,בריכת שחיה,עינוג ציבורי כללי,אבנר 1 ,"בריכת שחיה,","(32.124794, 34.831915)"
1733,קייטנת ספורט ונופש צהלה,קייטנה בבריכת צהלה .,עינוג ציבורי כללי,אבנר 1 ,"קייטנה בבריכת צהלה .,","(32.124794, 34.831915)"
1735,בית דפוס - בורוכוב,בית דפוס,"תעשיה, כימיה, מחצב",אלנבי 108 ,"בית דפוס,","(32.064814, 34.77219)"
1737,דסקלידס,"מכירת ממתקים, קפה, תה ודברי מאפה באריזות סגורות. מכירת משקאות שלא לצריכה במקום, אחסנת שוקולד בסיטונאות.",מזון,אבן גבירול 40 ,"מכירת ממתקים, קפה, תה ודברי מאפה באריזות סגורות. מכירת משקאות שלא לצריכה במקום, אחסנת שוקולד בסיטונאות.,","(32.076625, 34.781636)"
1738,אמריקה,"מסעדה (ללא דגים, ללא אפיה)+ גלידה אמריקאית מהמכונה (כל האוכל מוגש בכלים חד פעמיים), לרבות צריכת משקאות משכרים במקום+ משלוחים ע""י קטנועים.",מזון,אלנבי 112 ,"מסעדה (ללא דגים, ללא אפיה)+ גלידה אמריקאית מהמכונה (כל האוכל מוגש בכלים חד פעמיים), לרבות צריכת משקאות משכרים במקום+ משלוחים ע""י קטנועים.,","(32.063979, 34.772583)"
1739, ,מכלת,מזון,אלוף 16 ,"מכלת,מכירת בשר,עופות ובצקים קפואים.,","(32.052089, 34.798148)"
1740,שוק הרצל,"מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון+ מכירת פירות וירקות.",מזון,העליה 29 ,"מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון+ מכירת פירות וירקות.,","(32.8567039, 35.0958846)"
1742,מספרת ישראל,מספרה,"בריאות, רוקחות, קוסמטיקה",פרץ י ל 1 ,"מספרה,פדיקור ומניקור.,","(32.813234, 34.9946229)"
1743,פלאפל הקוסם,"4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות משלוח מזון ולרבות הגשת משקאות משכרים לצריכה במקום.
ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט",מזון,שלמה המלך 1 ,"4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות משלוח מזון ולרבות הגשת משקאות משכרים לצריכה במקום.
ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8,","(32.0764281, 34.7766833)"
1745,איטמיט אנטריקוט,בית אוכל - הכנת ומכירת כריכים כולל פרוסות קרפאציו אנטריקוט ללא עיבוד בשר בכלים חד פעמים.,מזון,המלך ג'ורג' 68 ,"בית אוכל - הכנת ומכירת כריכים כולל פרוסות קרפאציו אנטריקוט ללא עיבוד בשר בכלים חד פעמים.,","(32.075907, 34.776849)"
1748,חנות ירקות,מכירת פירות וירקות.,מזון,בן יהודה 81 ,"מכירת פירות וירקות.,","(32.0816625, 34.7705891)"
1750,רון עמיאל חנות לחלקי חילו,"8.7 א - כלי רכב,ציוד מכני הנדסי (צמ""ה) - חלקים משומשים - מכירתם, אחסנתם
",רכב ותחבורה,מולדת 13 ,"8.7 א - כלי רכב,ציוד מכני הנדסי (צמ""ה) - חלקים משומשים - מכירתם, אחסנתם
,","(32.055155, 34.773235)"
1754,תחנת תדלוק פז ירמיהו,2.2 א - תחנת דלק ותדלוק.,דלק ואנרגיה,ירמיהו 9 ,"תחנת דלק (נפח דלק 63,000 ליטר ).,","(32.0950905, 34.7750286)"
1756,מזנון דנש,מזנון לרבות משקאות משכרים במקום,מזון,אלנבי 91 ,"מזנון לרבות משקאות משכרים במקום,","(32.065557, 34.772286)"
1759,קלאופטרה,"1.4א - טיפול יופי וקוסמטיקה, פדיקור מניקור, מכון שיזוף
","בריאות, רוקחות, קוסמטיקה",בן יהודה 167 ,"טיפול יופי וקוסמטיקה, פדיקור ומניקור.,","(32.089233, 34.773589)"
1762,ייצור דברי הלבשה,ייצור דברי הלבשה,"תעשיה, כימיה, מחצב",יפו 7 ,"ייצור דברי הלבשה,","(32.074783, 34.767181)"
1765,AM:PM,"4.7 ד - מרכול - כמשמעותו בפריט 4.7 ב, שיש בו טיפול במזון, לרבות משלוח מזון.
",מזון,יהודה הלוי 114 ,"4.7 ד - מרכול - כמשמעותו בפריט 4.7 ב, שיש בו טיפול במזון, לרבות משלוח מזון.
,","(32.070793, 34.781973)"
1766,מרכז הנקניק,הכנה ומכירת כריכים  מסלטים מוכנים ממקור מאושר כחוק.,מזון,בוגרשוב 91 ,"הכנה ומכירת כריכים  מסלטים מוכנים ממקור מאושר כחוק.,קיוסק-מכירת ממתקים, משקאות קלים ללא אלכהול, שלגונים ודברי מאפה באריזות סגורות.
,","(32.074193, 34.775242)"
1768,דיסטריט,מסעדה לתבשילים וטיגון צי'פס בלבד (ללא דגים ללא אפיה)- לרבות צריכת משקאות משכרים במקום,מזון,הנביאים 2 ,"מסעדה לתבשילים וטיגון צי'פס בלבד (ללא דגים ללא אפיה)- לרבות צריכת משקאות משכרים במקום,","(32.075986, 34.777039)"
1770,מאמא פיצה,מינמרקט (מכירת קפואים בשר קפוא בצק קפוא).,מזון,עמישב 32 ,"בית אוכל להכנה והגשת פיצה הכנת בצק מאריזות קמח 1 קג' שתיה קלה, קינוחים ממקור מאושר, סלטים מירקות טריים, מלוואח וזיווה הגשה בכלים חד פעמיים,","(32.062202, 34.805305)"
1774,חומוס אבו דאבי,"בית אוכל להכנה והגשה חומוס,פול, צ'יפס, סלטים מירקות טריים .",מזון,המלך ג'ורג' 81 ,"בית אוכל להכנה והגשה חומוס,פול, צ'יפס, סלטים מירקות טריים .,","(32.075914, 34.77641)"
1775,הפינה הירוקה,מכירת פירות וירקות.,מזון,הרוגי מלכות 7 ,"מכירת פירות וירקות.,","(32.109915, 34.832765)"
1776,לחם תושיה,4.7 ב - מכירת לחם.,מזון,ויצמן 20 ,"מכירת לחם דברי מאפה ועוגות ומשקאות קלים.,","(32.1655358, 34.836848)"
1778,היילייטס,מספרה.,"בריאות, רוקחות, קוסמטיקה",אבן גבירול 184 ,"מספרה.,","(32.094201, 34.783676)"
1779,כנאפה בשיינקין,"4.2ג - הכנת מזון למכירתו לצריכה מחוץ למקום הכנתו, לרבות משלוח מזון ולמעט הסעדה כמשמעותה בסעיף 4.6 ה' ללא ישיבה במקום
",מזון,שיינקין 4 ,"4.2ג - הכנת מזון למכירתו לצריכה מחוץ למקום הכנתו, לרבות משלוח מזון ולמעט הסעדה כמשמעותה בסעיף 4.6 ה' ללא ישיבה במקום
,","(32.0744821, 34.8091231)"
1780,עיקר הבריאות,"מכירת דיברי מזון,חלב ומוצריו, ביצים,תבלינים ותמציות מזון.(חנות טבע",מזון,אשתורי הפרחי 18 ,"מכירת דיברי מזון,חלב ומוצריו, ביצים,תבלינים ותמציות מזון.(חנות טבע,מכירת פירות וירקות.,","(32.090301, 34.780368)"
1781,וניליה,"4.2ב - מזנון, בית אוכל אחר למכירת גלידה לרבות משלוחים, ללא הגשת משקאות משכרים לצריכה במקום
",מזון,אשתורי הפרחי 22 ,"בית אוכל למכירת גלידה מוכנה וגלידה מתערובת מפוסטרת (אמריקאית בכלים חד פעמיים), וופל בלגי,שייקים,פרוזן יוגורת, מיצים טבעים,הכנה והגשת תה וקפה.,","(32.090679, 34.780436)"
1783,ג'פניקה,"בית אוכל להכנה והגשת סושי ושתיה קלה בכלים חד פעמיים  (נתמך ע""י מסעדה  - תיק רישוי  69283  ברחוב אחד העם 35 החסנה ושירותים בלבד).",מזון,אלנבי 116 ,"בית אוכל להכנה והגשת סושי ושתיה קלה בכלים חד פעמיים  (נתמך ע""י מסעדה  - תיק רישוי  69283  ברחוב אחד העם 35 החסנה ושירותים בלבד).,","(32.063608, 34.772718)"
1785,"זואה 1 ע""ש טורצ'ינר","אולם קולנוע תאטרון וקונצרטים (200 מקומות ישיבה)- זואה 1 ע""ש ""טורצ'ינר"" (עקב מס' שירותים קטן - לא יתחילו הופעות באותה שעה בכל האולמות על מנת שלא תהיה הפסקה חופפת)",עינוג ציבורי כללי,אבן גבירול 26 ,"אולם קולנוע תאטרון וקונצרטים (200 מקומות ישיבה)- זואה 1 ע""ש ""טורצ'ינר"" (עקב מס' שירותים קטן - לא יתחילו הופעות באותה שעה בכל האולמות על מנת שלא תהיה הפסקה חופפת),","(32.074489, 34.782059)"
1794,ampm,4.7 ב - סופרמרקט (מכלת + מכירת מצרכי מזון קפואים).,מזון,המלך ג'ורג' 99 ,"סופרמרקט (מכלת + מכירת מצרכי מזון קפואים מכ' בקר דגים ועופות קפואים)- (מחסן חיצוני בתיק רישוי 62629),מכירת פירות וירקות.,מכירת מזון לבעלי חיים.,","(32.077519, 34.777627)"
1795,טרינדב,"4.2ב - בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.",מזון,עמינדב 8 ,"בית אוכל להכנה והגשת כריכים מירקות טריים+ גבינות + חביתות + סלטים בהרכבה +הכנה והגשת טוסטים +  תה וקפה+ מיצים טבעים.,","(31.7655271, 35.2266247)"
1797,טשרנחובסקי,מכירת משקאות גלידה  ממתקים וסגריות,מזון,טשרניחובסקי 22 ,"קיוסק,","(31.7676445, 35.2060074)"
1801,הרצל,מקום אחר למכירת מזון + מכירת משקאות משכרים ללא צריכה במקום .,מזון,המסגר 60 ,"מקום אחר למכירת מזון + מכירת משקאות משכרים ללא צריכה במקום .,","(32.067033, 34.787052)"
1806,מכון יופי גילי,פדיקור ומניקור.,"בריאות, רוקחות, קוסמטיקה",המלך ג'ורג' 91 ,"פדיקור ומניקור.,מכון יופי.,","(32.076878, 34.77715)"
1807,מעדנייה,"מעדניה(מכירת גבינות מוצרי נקניק,מצרך משקה,משקאות קלים,דגים,חמוצים שימורים וסלטים.",מזון,התקוה 5 ,"מעדניה(מכירת גבינות מוצרי נקניק,מצרך משקה,משקאות קלים,דגים,חמוצים שימורים וסלטים.,","(31.8918073, 34.8190437)"
1808,אנימלי,מכירת מזון וציוד לבעלי חיים.,חקלאות ובעלי חיים,אלנבי 33 ,"מכירת מזון וציוד לבעלי חיים.,","(32.072173, 34.769334)"
1809,השדרה,מכלת,מזון,בן ציון 31 ,"מכלת,מכירת בשר קפוא.,מכירת ירקות קפואים ,סלטים ונקניקים במישקל.מכ' בצקים קפואים,","(31.8992073, 34.8069736)"
1811,"מלון ""בל""",בית מלון (25 חדרים),עינוג ציבורי כללי,אלנבי 12 ,"בית מלון (25 חדרים),משקאות משכרים-הגשתם לצורך צריכה במקום ההגשה.,מזנון.,","(32.073232, 34.766311)"
1812,מספרת שריקי,מספרה.,"בריאות, רוקחות, קוסמטיקה",אבן גבירול 186 ,"מספרה.,פדיקור ומניקור.,","(32.094427, 34.783748)"
1813,פוני,"בית אוכל לאפיית דברי מאפה מבצק מוכן ומוקפא הגשת תה, קפה ומשקות קלים.",מזון,העליה 24 ,"בית אוכל לאפיית דברי מאפה מבצק מוכן ומוקפא הגשת תה, קפה ומשקות קלים.,","(49.184348400000005, -2.1108387095281254)"
1814,מעדני נטלי,מכירת נקניקים.,מזון,"רמב""ם 1 ","מכירת נקניקים.,אטליז-מכירת בשר ( חזיר) שאינו קפוא.,","(32.0682619, 34.7685338)"
1816,מספרת דוד,מספרה לגברים וגברות,"בריאות, רוקחות, קוסמטיקה",שיינקין 17 ,"מספרה לגברים וגברות,","(32.0747223, 34.8108945)"
1817,ג'ולי,מספרה.,"בריאות, רוקחות, קוסמטיקה",ארלוזורוב 43 ,"מספרה לגברות,","(32.086452, 34.777512)"
1820,בורגר בר,"מסעדה,(ללא דגים ואפיה) לרבות הגשת משקאות משכרים לצריכה במקום. 
",מזון,בן יהודה 43 ,"מסעדה,(ללא דגים ואפיה) לרבות הגשת משקאות משכרים לצריכה במקום. 
,","(32.0780948, 34.7685011)"
1821,שפע עוף והודו- מחסן,מחסן לעסק ברח' ישכון 36 תיק רישוי 5294,מסחר ושונות,ישכון 41 ,"מחסן לעסק ברח' ישכון 36 תיק רישוי 5294 (המחסן משמש חדר שרות לעובדים בלבד ושטיפת ארגזים- ללא מזון).,","(32.06863, 34.768268)"
1822,קפה נורדוי,מסעדה  כולל הכנת דגים (ללא אפיה) לרבות הגשת משקאות משכרים לצריכה במקום.,מזון,נחלת בנימין 27 ,"מסעדה  כולל הכנת דגים (ללא אפיה) לרבות הגשת משקאות משכרים לצריכה במקום.,","(32.066687, 34.770526)"
1828,עד העצם,"בית אוכל להכנת והגשת המבורגר, סלטים מירקות טריים, צ'יפס ומשקאות קלים, גלידה אמריקאית מתערובת בהגשה בכלים חד פעמיים.",מזון,רוטשילד 31 ,"בית אוכל להכנת והגשת המבורגר, סלטים מירקות טריים, צ'יפס ומשקאות קלים, גלידה אמריקאית מתערובת בהגשה בכלים חד פעמיים.,","(32.023063561538464, 34.77330266153846)"
1829,יאנס,בית אוכל להכנה והגשת פלאפל והגשת חומוס מתערובת שמכינים במקום וסלט מירקות טריים-לרבות צריכת משקאות משכרים במקום.,מזון,פרישמן 88 ,"בית אוכל - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות הגשת משקאות משכרים לצריכה במקום.

,","(32.07928, 34.779502)"
1832,קלין שופ,מכבסה (ללא ניקוי יבש ולא בשרות עצמי).,מסחר ושונות,אבן גבירול 59 ,"מכבסה (ללא ניקוי יבש ולא בשרות עצמי).,","(32.078255, 34.781118)"
1834,הבורקס של אמא - לוינסקי,מפעל לייצור בצקים.,מזון,זבולון 20 ,"מפעל לייצור בצקים.,","(32.059226, 34.772645)"
1839,עלית הטופי,"קיוסק-מכירת ממתקים, משקאות קלים, שלגונים ודברי מאפה באריזות סגורות  ומכירת פיצוחים.",מזון,אבן גבירול 184 ,"קיוסק-מכירת ממתקים, משקאות קלים, שלגונים ודברי מאפה באריזות סגורות  ומכירת פיצוחים.,","(32.094201, 34.783676)"
1842,קינג מרקט,"מכירת ממתקים, משקאות משכרים שלא לצריכה במקום, שלגונים, משקאות קלים ודברי מאפה באריזות סגורות.",מזון,ירמיהו 13 ,"מכירת ממתקים, משקאות משכרים שלא לצריכה במקום, שלגונים, משקאות קלים ודברי מאפה באריזות סגורות.,","(31.7921623, 35.2082576)"
1843,מכלת של פעם,מכירת פירות וירקות.,מזון,המלך ג'ורג' 107 ,"מכירת פירות וירקות.,מכירת בשר ומוצרי בשר עופות ודגים קפואים,סופרמרקט , מכירת מצרכי מזון קפואים.,","(32.077949, 34.777972)"
1845,הפיצוחיה של מנש,"בית אוכל  הכנה והגשת כריכים קפה ותה   מכירת גלידה , ממתקים משקאות קלים  ,לרבות הגשת משקאות משכרים לצריכה במקום. 
",מזון,ברודצקי 15 ,"בית אוכל  הכנה והגשת כריכים קפה ותה   מכירת גלידה , ממתקים משקאות קלים  ,לרבות הגשת משקאות משכרים לצריכה במקום. 
,","(32.1075647, 34.7976807)"
1846,רעיה,בית מרקחת,"בריאות, רוקחות, קוסמטיקה",המלך ג'ורג' 28 ,"בית מרקחת,","(31.779723, 35.2156791)"
1848,קפה שינאור,"בית אוכל אחר להכנת סלטים ,כריכים, פסטה ,טוסטים בתוספת עוף ,חביתות רטבים  לפסטה חימום קישים ולזניות מוכנות ממקור מאושר כחוק-לרבות צריכת משקאות משכרים במקום.",מזון,פינסקר 20 ,"בית אוכל אחר להכנת סלטים ,כריכים, פסטה ,טוסטים בתוספת עוף ,חביתות רטבים  לפסטה חימום קישים ולזניות מוכנות ממקור מאושר כחוק-לרבות צריכת משקאות משכרים במקום.,","(32.326335, 34.8583289)"
1851,מכולת ציוני,מכולת מכירת מזון ארוזים מכירת משקאות שלא לצריכה במקום ממתקים .,מזון,"אצ""ל 62 ","מכולת מכירת מזון ארוזים מכירת משקאות שלא לצריכה במקום ממתקים .,","(32.049166, 34.79249)"
1852,הו מאמא,"מסעדה  כולל דגים  ללא אפיה לרבות הגשת משקאות משכרים במקום, משלוחים ע""י 3 קטנועים.",מזון,החשמונאים 2 ,"מסעדה  כולל דגים  ללא אפיה לרבות הגשת משקאות משכרים במקום, משלוחים ע""י 3 קטנועים.,","(32.071954, 34.773748)"
1856,רוני ביס,"בית אוכל להכנה והגשת כריכים סלטים מאפים מוכנים מיצרן מאושר , שתיה קלה ושתיה חמה(לעסק מחסן בתיק רישוי: 62134).",מזון,דיזנגוף 164 ,"בית אוכל להכנה והגשת כריכים סלטים מאפים מוכנים מיצרן מאושר , שתיה קלה ושתיה חמה(לעסק מחסן בתיק רישוי: 62134).,","(32.084028, 34.774363)"
1863,המקום של חני,מכירת מזון לבעלי חיים.,חקלאות ובעלי חיים,הגדוד העברי 29 ,"מכירת מזון לבעלי חיים.,","(32.059274, 34.777608)"
